domain,length,entropy,label
827ba3d3266fe5a5042321f798a2b45.043efce0b59c99dfc8962898.034cfea08d909f5c47448.978400c3c87456abfdadf994aaf72.evil-corp.net,122,4.29761,1
shop.udhe.co,12,3.084963,0
zapaeageil.net,14,3.128085,0
login.itsationli.net,20,3.146439,0
media.oaka.gov,14,3.182006,0
ca4e4b271f9918986f650ab.339a85851887bd55b84467bc927d2efbbd4.8435c8bc5d42ac87fca9eb9b2944.c2server.net,101,4.155495,1
shop.piis.app,13,2.623517,0
shop.bobebeless.com,19,3.141635,0
support.puou.dev,16,3.155639,0
support.soop.tech,17,3.175123,0
docs.onneda.app,15,3.106891,0
assets.gopenoness.net,21,2.946388,0
media.lesses.edu,16,2.95282,0
assets.tutogoobea.org,21,3.177566,0
tionheer.tech,13,3.026987,0
support.tepoat.edu,18,3.19716,0
assets.analriri.net,19,3.115834,0
media.ivele.gov,15,3.189898,0
www.ouswo.net,13,2.777363,0
static.ceusanceit.tech,22,3.152391,0
4wW0Z8RRgnVnQ/+EMu7RH6qIg2B.eWbjTREnzGsUx8=nMN7/DnR.1bY36JCbRuUZmzL2hnNjhSyMUWis=tq.exfil.ru,92,5.449714,1
api.voipod.org,14,3.039149,0
login.losu.info,15,3.056565,0
shop.oupe.com,13,3.026987,0
Kp1WBdaR+il9=pZvMZu4GMx5bU.5KCSm6Fj38V4wRe/IXDQB0Sp0mC8f0.Y1a/ur8OnUrTvI0KpcOM2Yeyl.c2server.net,96,5.515908,1
www.irup.edu,12,2.855389,0
Zw1o4XLKEgy7OsV8ztgmIc6KBHVDhd8bbz./Z1yBaHNj+Q2sv/tgEhxz2EWCXzy.X7CJIi7+x6s+8JY/LtSerB.exfil.ru,95,5.463975,1
auth.beeama.io,14,3.182006,0
cdn.gucaanhu.app,16,3.07782,0
shop.piir.gov,13,3.085055,0
0BWKEgJO+JP0SlubczYlrmVrCyrM18wT.OUrM5Jdb6ZSyyDsg7m7hznTefD.a45/cRkjplQKUJC25Le9s=p2eHrrsN.tunnel.io,100,5.618563,1
docs.adamacal.org,17,3.146286,0
login.pawo.org,14,3.182006,0
www.ucigvois.co,15,3.056565,0
www.mise.dev,12,2.855389,0
assets.yearuc.app,17,3.175123,0
cdn.ingki.net,13,3.026987,0
c489d235a9f7de270a99d1267e1ddc6983.63e8231fccbf8ed97c29f2.1d6c4bef5e117be2e3cf27c0845f419e54a.tunnel.io,103,4.239683,1
mail.conu.com,13,3.085055,0
assets.sokuoa.co,16,2.95282,0
shop.cucocu.tech,16,3.0,0
blog.beupbu.io,14,3.039149,0
media.otgo.gov,14,3.182006,0
9753c1c0992833b9d620e60bf82a37c6.a963a2b525d64b3d900017a71cbc01def07.7482902562ff4102cac657a20aef0c.c2server.net,112,4.189708,1
rXMFEifyx73w0JHSl5/+.DDTXn6uDO5OHOP/51QZsequt=SkYHB5.FIYIH7eeY62UCLYo9Kj3zeTESV.evil-corp.net,93,5.530832,1
media.pigi.org,14,3.182006,0
shop.esboue.dev,15,3.189898,0
login.onuc.net,14,3.182006,0
1be638c59233b0d4efa23798a8f.57c556850fcb12895f3cb0566ca.tunnel.io,65,4.283757,1
login.ovgo.edu,14,3.182006,0
tifeinginging.app,17,2.939829,0
media.opic.com,14,3.093069,0
cdn.tionul.info,15,3.189898,0
QcXVNBWKVR64uJ6K+SNJ7GFjzdHP.i2iohPODj8y8=KeErXiExjHaD.zfZAvOLaFt9zlCmcLIL1=7enh0k.tunnel.io,92,5.583026,1
media.musiin.io,15,3.106891,0
login.nadadadi.dev,18,3.127987,0
2e202fefe41142d9420fde981e00f11.be2d4cd19bd87a224362efa6f27.938adb23516ac8ede0f2785bc38e.data-exfil.com,103,4.215885,1
anceucmi.com,12,3.022055,0
71573d35661648fa7e6a.f0bf8a562d376f23d8010a816bc6a1e.data-exfil.com,67,4.21698,1
www.pala.io,11,2.663533,0
support.upto.tech,17,3.175123,0
auth.rade.net,13,3.085055,0
www.umie.dev,12,2.855389,0
support.pate.net,16,3.155639,0
blog.gupe.gov,13,3.026987,0
4ddb8745290e6ecfaedd70ec321f90cb784.655981d56a6a8e6f626893.exfil.ru,67,4.250197,1
login.iego.dev,14,3.093069,0
fiideddaue.tech,15,3.139572,0
www.iveive.io,13,2.50738,0
assets.geiojo.gov,17,3.175123,0
cdn.ceku.net,12,2.918296,0
auth.mulu.gov,13,3.180833,0
api.liisdicoio.biz,18,3.086049,0
mail.nadi.com,13,3.085055,0
e0133b0cf635cced927c.f5986aebcddd5bd4d2c40365974453.c61ff724d630d1f092b6135c81c39c701.exfil.ru,94,4.171744,1
mail.rifulrara.edu,18,3.19716,0
support.utrupo.com,18,3.04411,0
cikagaug.co,11,2.913977,0
static.tusi.gov,15,3.189898,0
api.emhiit.tech,15,3.056565,0
api.wiyadi.com,14,3.182006,0
mail.osocedam.com,17,3.175123,0
mail.nionio.biz,15,2.973557,0
login.oxin.app,14,3.093069,0
docs.diwiov.co,14,2.896292,0
static.toutesessu.net,21,3.041626,0
www.neel.dev,12,2.625815,0
static.jota.gov,15,3.189898,0
www.etit.gov,12,2.855389,0
static.itpo.info,16,3.155639,0
/CXePFHKIVoCIpVjMus=VqrSP2.+FCWVc/yK+cABNlrGR4XseDqCEKasHc/yh.evil-corp.net,75,5.191826,1
assets.tionbiis.info,20,3.121928,0
cdn.poro.app,12,2.855389,0
5ECOFXWsdUEsFtNvHvyqBF.b7xowCwAMeaLxT4Vhg9PwxXQoOI0GJDcs.data-exfil.com,71,5.381728,1
api.odmeoc.io,13,3.026987,0
login.lisoir.org,16,2.905639,0
static.uaatceid.co,18,3.155222,0
cdn.ocja.gov,12,3.084963,0
blog.touetu.edu,15,3.056565,0
mail.ablo.app,13,2.873141,0
blog.riulga.io,14,3.093069,0
1de29a6f80fb76ba62511f2c9966.96531cec141f981ebcdfcd6933.8097f3e82e2537f9951604c7.data-exfil.com,95,4.270701,1
=/wUrZiV46/Ap1uU8EmoFCfMM7Za.vTD+5r=Hzfj98AZ1S7g+Af70EEg.evil-corp.net,70,5.282366,1
ucrement.com,12,3.084963,0
assets.fout.com,15,3.189898,0
3b680f0087e6ebeb44f9d03bbc6f07fd012.75158bcf31cda2b8bcdb878e3b0dda8f95.evil-corp.net,84,4.324689,1
shop.dede.gov,13,3.085055,0
icfoonye.io,11,2.845351,0
shop.piintionis.biz,19,3.110578,0
static.zedaze.net,17,3.175123,0
media.faye.edu,14,3.039149,0
login.amra.app,14,3.182006,0
mail.weidbe.dev,15,3.189898,0
api.emummo.com,14,2.950212,0
assets.waoa.dev,15,3.006239,0
assets.deze.io,14,2.985228,0
static.oddotion.com,19,3.155565,0
cdn.tiid.info,13,2.873141,0
api.insavesi.net,16,3.07782,0
shop.doed.edu,13,2.873141,0
ziadfi.info,11,2.845351,0
docs.ieness.gov,15,3.189898,0
yDVhiKLW/iabapMisTMkUS/sL.KqTHGHRpfKAwptH0BFY5AuG.3eKFjuLc4OLjmkZ7C78gpn/MkVBD.KG0TFJn2rPVKdeRxxyyCXvgXk.evil-corp.net,118,5.615499,1
mail.pais.info,14,3.182006,0
8d4b958ddc9f3a7fb7980097918ca77e5.ebffc42f1d60583bcd58de58bc2af2f4.59dde8d0cd9045ddc5d993.11608aae47fbe3c3a3ee0795e0b4.c2server.net,131,4.167969,1
static.waou.app,15,3.189898,0
261aa799a1de0a270d6d1.d295c1a8b4e43481806bf39176877a5.6d54a5e52c8a796d58c8.evil-corp.net,88,4.355176,1
static.uauc.com,15,3.056565,0
media.uaabla.app,16,3.024397,0
95561ef330c5c5b0503bdc3ebc7a5b.158c69c237a42bff8f97e1.cf622a1a038e69f54771fe0e2bd5.tunnel.io,92,4.265988,1
cdn.ocig.biz,12,3.084963,0
blog.ubre.gov,13,3.085055,0
AT6i3zn0yoLaXTch1dEHuTo4va.6iMklp3Wgli=Htw78GgGghnH.uK3ZzUlX/S6N/iOu3cXvtMII0wH.aTLr9REKFPdzc4QaMKhq1.tunnel.io,111,5.454162,1
+MEX2cXo9efgfCNh9yvk55.LrHjUMhpzU+ry/mf8pXiZNYKb=vPBZu=.dQ1XZZ3ctF7+E1C5t3R8J.exfil.ru,86,5.446443,1
F7h9lSE0Mp0skPj/tx/Xe5wnTpFfDSL.5HD+KfMhaj0wH4kkRlQ6.Il2Zqy1kyD71+mlimemYDwH.tunnel.io,86,5.331626,1
sokiop.org,10,2.846439,0
static.yean.net,15,3.056565,0
static.iveia.dev,16,3.07782,0
assets.cako.net,15,3.056565,0
blog.fopisiin.io,16,3.07782,0
auth.tilu.app,13,2.931209,0
media.jeer.biz,14,3.182006,0
005eef5ea57652d2a6d255ceb412e.5fbe0886c5f57fa38115139cf50284ded5.40871bfb29fddeb324f111.720eda18b75bb991070a9.evil-corp.net,123,4.28895,1
eaidnu.app,10,2.921928,0
www.leduzo.app,14,3.182006,0
www.hodujo.dev,14,3.039149,0
assets.eaableid.dev,19,3.115834,0
HQ3XYB/vdowoGt1xLnYir/K.ph6bBTTfKddj/Bvv//b3FM7sTwo8Ld.m=b61aKdwscQPUrOxKAeqISj.evil-corp.net,93,5.337561,1
cdn.kuur.com,12,3.084963,0
UrtfugJ2+mqs=satJ74pm9.KUIU8MB4DfvZ8rdhDK2doBTZFNOyzjlaa7t.fGDBC4q4vj/JHuupR2bxe1kI6.tunnel.io,94,5.498374,1
sKDGOmEyVfD6lw2dQDscG.Bk4Np+08NqwP+ZglLBpcEX6ahrz+.8mK430dJzqEnZN5fAEcB9LSa.exfil.ru,84,5.400839,1
pipiabicte.biz,14,2.950212,0
login.oune.com,14,3.182006,0
shop.odzeor.dev,15,3.189898,0
cdn.pofa.info,13,3.085055,0
36af828e9a8d04d9a5d343cff20e3623.64e8c090956946fd1942ee29.exfil.ru,66,4.0638,1
J6/bDt6qu0jX6h++2Y3/eb7zcixaH.mTcXS1q2vuDbOVF5g1i8SyQJEY3FrN.botnet.xyz,71,5.300949,1
shop.emje.net,13,3.180833,0
login.obiojuuc.io,17,3.101881,0
support.cuip.app,16,3.024397,0
login.didoig.info,17,2.866587,0
Vep9U=6dxmYPUO/MOvLfjX8H0=acUay.l9DANCiG7I6/4eOnSoxkYG0uZJ.d8KATqfkilkJNKLG2auEMH5=2+adkvJkpH.botnet.xyz,104,5.600405,1
static.esus.net,15,3.006239,0
login.idnu.edu,14,3.093069,0
static.atli.net,15,2.973557,0
api.ableiblerela.net,20,3.146439,0
media.eation.net,16,3.07782,0
shop.duwo.gov,13,3.180833,0
zezakene.edu,12,2.751629,0
static.enea.dev,15,3.189898,0
support.poispiiopu.edu,22,3.101509,0
shop.vivoto.biz,15,3.189898,0
media.kidoio.org,16,3.155639,0
4e755adfc4921795cdce119ff.fc5df144d3613cccb397fcc.751b7e96788e5ceb603fe206d78f085.dfd4b52dd9ad79db40d52aa54d25.evil-corp.net,124,4.289808,1
ouwakiceho.io,13,3.180833,0
api.pipe.org,12,2.855389,0
assets.ouge.dev,15,3.139572,0
support.mooxsa.app,18,3.127987,0
shop.obha.tech,14,3.182006,0
d74716ef4fd4ca4ab0b7896cddd61.200dbda28df6f5ec865af9c614e36893a48.2d3c8710552a103bd72553c3fc623.botnet.xyz,106,4.286653,1
docs.arjo.gov,13,3.180833,0
blog.lesste.edu,15,3.189898,0
guatpoot.org,12,2.855389,0
assets.honess.info,18,3.080501,0
auth.utof.info,14,3.093069,0
static.ociticzait.biz,21,2.946388,0
onuppujo.edu,12,2.855389,0
mail.ockanadi.io,16,3.155639,0
caraju.gov,10,3.121928,0
mail.laes.com,13,3.085055,0
qVcr4Tg9QNjZ2uLXSXRKqyO4cqqJZg1c5I.4=1mwC+D1AWAqEWIkn9MA28t+=2k24Iiuy.+BL9lJO8JzU0UFsH2CN01Afumd/.evil-corp.net,111,5.63231,1
blog.wotioning.io,17,2.984234,0
bKLPRBnWwCvl1JBU7yJNxITbOOvZt/5+.KEEhsm963H1ZI2ywBpZzxEMvkwMcUrE.botnet.xyz,75,5.311566,1
mail.oaalieno.net,17,3.101881,0
docs.mibuzi.io,14,3.182006,0
nr/+gGAsqoQfXBut5pnG=Y2ZzzofaoW.fJeTfkiU6RgO8zl5Qt0Ldng=T8.c2server.net,71,5.184545,1
X9JMP12Va6d4X52A4/5a.138mKkjGNB42b5Phul=9/wUDeiNE.JT2=uitPoofQ6wLnCKQtONDeZ3gGBuGpNa2.exfil.ru,94,5.459973,1
dlkDo5ruTFH2XRa0R1hMC6A4FL3KcCsH/d.Up+wti332+uG6mwoVf9G9CyQcRYyH2.data-exfil.com,80,5.402567,1
api.obid.org,12,3.084963,0
static.ofnafo.info,18,3.086049,0
docs.idetit.biz,15,3.189898,0
mail.sihisiko.info,18,3.191612,0
static.nooc.gov,15,3.189898,0
mail.saalsise.dev,17,3.057476,0
static.etneud.net,17,3.101881,0
shop.zoesga.gov,15,3.189898,0
media.adga.gov,14,3.039149,0
docs.sidu.io,12,2.751629,0
shop.utwo.gov,13,3.180833,0
blog.iaod.info,14,3.182006,0
www.feheediaru.edu,18,3.127987,0
shop.tuilous.co,15,3.189898,0
assets.jeisofso.info,20,3.103702,0
assets.yole.co,14,3.039149,0
support.opde.org,16,3.155639,0
shop.moip.gov,13,3.026987,0
f7be86d699232f9196b47a3c3.5b0fbfd733a47ac7b35bd0baf70b79e984.botnet.xyz,71,4.21539,1
assets.ulle.net,15,2.872906,0
media.mizi.info,15,3.106891,0
support.puus.tech,17,3.175123,0
cdn.oaug.com,12,3.084963,0
cdn.juedea.edu,14,2.842371,0
static.etveia.biz,17,3.175123,0
8hrgFqIzvp=IEKffk9mSAOPYLZ1DJ.roxkjNlOMOoHbsX1SWBlK4.vK2zb4gkloe69vO8glA7.xSNlk3THSvYxxbu4+ZcoagwBUsOM.botnet.xyz,113,5.543074,1
support.pubudu.org,18,3.127987,0
auth.eauait.edu,15,2.872906,0
support.puuner.net,18,3.086049,0
assets.etpeza.tech,18,2.974938,0
=7EjwEmiW27K5VjFxmRc.liaaCd62plbFjxON1WvqRQs4xWWf.uQierVv0IAaCK==/jyU3Y0.xbhSOjhkhauiovjaB960n+fW8uyt.c2server.net,114,5.52703,1
28f4799e3a498c1a64ca1a13bf5a9b8f.f3bec519eb733a3abb3198591823a816a.b47cc2f64e5a957dc06b5297.755747409b8184edc2a3d.botnet.xyz,124,4.214142,1
support.urimoustous.io,22,3.061482,0
mazanessos.biz,14,3.182006,0
NdedeWn9LQMzS9V3r8Jn2UTi.y9aKj7BXpG2RQlV8pGR7jzvsWn5iyqD9IHp.c2server.net,73,5.167507,1
support.osto.tech,17,3.175123,0
blog.cuful.org,14,3.093069,0
sRcxwpJBdmCuQl77=vHYdy35aV.fdnLLGZ076cQnsdrpiPmDQ3ffL=t.T8S+qWNVjAmtfD9cfq7FDtCqsq9QHpN.c2server.net,100,5.394918,1
www.acbo.gov,12,2.855389,0
mail.oaisarob.org,17,3.175123,0
static.acbiwa.com,17,3.175123,0
media.orri.org,14,3.039149,0
diHeRf3b8+B78bzyBdhN/bjgI+Y.UwZxUd2lgF7jzPe1x6SgZnVH+V.OCQUjedvJTzj7RPTSr7db.evil-corp.net,90,5.333644,1
www.jeed.net,12,2.625815,0
blog.hoopvo.com,15,2.999581,0
mail.nihaen.biz,15,3.189898,0
media.daal.com,14,3.039149,0
support.opupzouc.org,20,3.084184,0
anmiurya.app,12,3.022055,0
8d4410213529e943d3199ef7b621e3b.ac61be3cac3fb617d539a8a5.97e4357159e7bbb910c57fc837bdfc9.tunnel.io,98,4.230569,1
auth.eroc.tech,14,3.093069,0
auth.riofonurof.info,20,3.184184,0
docs.ursosesoon.org,19,3.005315,0
mail.neinca.net,15,3.056565,0
support.upodus.gov,18,3.155222,0
docs.ceedrumehe.co,18,3.127987,0
cdn.nadiioka.com,16,3.125,0
2dfdcafbf023cdd87736.73b7865f8d4b495b4ea33a4949a01.78946298df2ef96326cb4b9cc57f805f3.botnet.xyz,95,4.259603,1
blog.kege.tech,14,3.182006,0
assets.veit.tech,16,2.983459,0
media.ease.org,14,3.182006,0
ea840972de9fa72eb4393b5799021.fcd9bc0d7da3519a36482f5caff868780f.474191c985fb4f93187d3.4e733fbde271c72b3d4dd9f7249.tunnel.io,124,4.207892,1
cdn.ingfenoie.info,18,3.016876,0
media.taua.com,14,3.182006,0
www.gocewavafi.co,17,3.146286,0
static.deot.dev,15,3.189898,0
hoesmoru.edu,12,3.084963,0
shop.muhu.gov,13,3.085055,0
media.dagoad.gov,16,3.030639,0
blog.fuin.info,14,3.093069,0
auth.ioovho.com,15,3.106891,0
static.abacve.app,17,3.146286,0
support.zopu.edu,16,3.155639,0
mail.isov.info,14,3.182006,0
support.iokomo.co,17,3.169249,0
z5eMUyKyQnl0CktgOC2xbbk/.tYnV/dpiB3iq+qT258qZhBFfg9sGwpaxE.e=raUFebDiUU=FtyemI4.botnet.xyz,90,5.369701,1
shop.vuhoud.gov,15,3.056565,0
cdn.mena.app,12,2.918296,0
68713346e1162095c892395e4dede6.03aff3675127f3d2a44a4.c2server.net,65,4.187377,1
support.ormuunso.com,20,3.184184,0
shop.tetu.tech,14,3.039149,0
blog.ugugudgo.dev,17,2.984234,0
shop.undoud.gov,15,3.189898,0
biropi.info,11,2.845351,0
a520cf98fd9e4ae991ad251831ef6308.2c7f8eed5b1d8aef60eb045d92da6aada.ae4a051d077b4467ff2cde26.tunnel.io,101,4.234384,1
8659a542dcd7ada5e742c2121b87987cf.b39823ce7469ba6d9362.2dd1440a1ed70b8095180989bb.667c38ef4a915cc8e17a942527.tunnel.io,118,4.249478,1
cdn.odzawo.org,14,3.182006,0
blog.ofha.info,14,3.182006,0
rosiance.io,11,3.095795,0
api.abac.com,12,2.855389,0
YE8UChkcA9m0IlyIvLpEw08Km+iL+kxSqo.K3HR=b1E+BnxVy+mUijaSCt9.JX3U8i+NOEEv6BI9Aj/5.exfil.ru,89,5.422378,1
auth.heenusutua.tech,20,3.008695,0
/oP2NWjOYBAVbj5Vr=v2Z10.Hu3f8SPYe8kyX4U6BsiESb9gcjY+.oiV=MfRmo8UIW9191dTDiqbOwnIpLm.c2server.net,96,5.581798,1
ZMvBynqAJ0EsJEl8xI6IQzU3dwPV.5=rkAKKtTeNfptEmWHIzt=loQ1=yrzPq7hw.HoVvF0V3=zgiS4dnV4DjXsCyxZywl.c2server.net,107,5.570586,1
fwsHzoa60AEXmlIkHyksfIDt4kEJjRHLz.LPOhH=FoMTiOZL2Zei2q2hoR2H.z3k1buJVHO0R6abNZvwv98.evil-corp.net,97,5.449924,1
6a64549e4ab2de583c9ec.c212e1b28c5662d453a2e707.d7dfd2339dce1367907a810383d3caa19.tunnel.io,90,4.256659,1
docs.inar.io,12,3.084963,0
docs.ledudecuug.io,18,3.19716,0
www.iefaug.io,13,3.026987,0
media.maiojeea.info,19,3.181366,0
www.oubuci.biz,14,2.896292,0
cdn.ocdo.info,13,2.719295,0
docs.etetgo.tech,16,3.030639,0
support.unub.co,15,3.189898,0
OymLd/RSICGhEK64L2a7RouW29dp.zGxpjwqY6sCQECaPmp+KKouizOEtb2qNY.9uhPkh6jwW=mFZz8GGoZj2NiF41nMB.evil-corp.net,107,5.586805,1
docs.sewetono.tech,18,3.19716,0
assets.enadfe.info,18,3.19716,0
api.arva.tech,13,3.180833,0
assets.waarpe.tech,18,3.155222,0
5PIP/MdzA5PMMBJ4wCngWgTt3976D.UG=CYbwpMe1nzL+9xhSr=yC.h4wir0q96snOb3sbDxFAXvm2/PEEe.c2server.net,96,5.466378,1
www.hasa.biz,12,2.855389,0
889c80e5cd71b34487a6f5b34f7dd0c.41430e2d8e6bf80778840d3b.72aebb81324f97f5c13f59a99813dcef1.bc1d57eba74b01855719e3.botnet.xyz,124,4.221374,1
media.nessna.dev,16,3.07782,0
assets.igta.net,15,2.872906,0
docs.sidike.com,15,3.106891,0
www.abet.org,12,3.022055,0
muiohe.net,10,3.121928,0
cdn.ovug.org,12,3.084963,0
beb0de4dee89f59d1ac2ef7ec4f8da5d0.3868012ef0656fff46bff18e4e33689b.c68e183280c427444fdb9fcad9.evil-corp.net,107,4.287146,1
mail.odam.com,13,2.873141,0
fuguco.dev,10,3.121928,0
DXnwKJJJu0xtanXo+Al3KahtH1/g230.XOfs+/=8e74MWT8hgIyEijaZ.gBgzO7IOcaRMRAuYU4mCesDp92=iaC.botnet.xyz,98,5.518954,1
static.subo.io,14,3.093069,0
cdn.acci.io,11,2.663533,0
shop.ousbo.info,15,3.106891,0
blog.joko.gov,13,2.777363,0
static.oxoxgi.co,16,3.07782,0
static.igroig.gov,17,3.175123,0
mail.yoosjogo.com,17,3.169249,0
media.houcce.co,15,3.189898,0
cdn.tiaccu.biz,14,3.182006,0
auth.uceapa.io,14,3.182006,0
auth.hiig.info,14,3.182006,0
a37151a0af3ab352b5f7e221f3898.7bce26e585c2fc68dacaa28bc3a8.evil-corp.net,72,4.258496,1
auth.iohudu.com,15,3.189898,0
support.tupa.co,15,3.056565,0
auth.melaca.tech,16,3.07782,0
support.tuhi.app,16,3.125,0
static.ubta.tech,16,3.125,0
shop.owpiof.io,14,2.807355,0
mail.iagoniancena.co,20,3.146439,0
media.alge.dev,14,3.039149,0
blog.onanop.com,15,3.106891,0
60ae67c781a13d78ece16f3460e4a2413ba.dbe38bdcfd8cf054255ee4.data-exfil.com,73,4.270467,1
shop.sehu.tech,14,3.039149,0
unyateupye.net,14,2.896292,0
auth.jaar.org,13,3.026987,0
vVLHDVGcDgg+U0/5sgfNa.WykWMhl/sg4R7WLTGaNzmT2IjGmK0KQ.zArEpImPF=gN+Bbr8F8XJ.HM685q7kT6MXDuJv9J9CPLT+.c2server.net,113,5.607499,1
1da8d8d7a34e80543741e8ccb5bf21.854cbd346b77a892dd57c38ddde8d3b3.data-exfil.com,78,4.16846,1
docs.cotu.edu,13,2.931209,0
assets.diat.io,14,2.896292,0
blog.ziim.info,14,3.182006,0
api.cuop.edu,12,3.084963,0
docs.cuancean.com,17,3.146286,0
support.zoov.gov,16,3.125,0
support.suous.edu,17,2.984234,0
api.anboat.app,14,2.753434,0
docs.tutiut.gov,15,3.189898,0
4284df8548679a642b5142c4e6.a30a3e9df5eae44735e9.008fdaa725d561dcf3902eb2c06.evil-corp.net,89,4.384575,1
shop.zigiiogeob.biz,19,3.155565,0
cdn.beve.com,12,3.084963,0
821972fea67e2ea0bd259066e36c0d1ee07.331204d787dfb8d34e90.9c0951afd3baffa08540dc9fe491e.568faadcaee983e869c0ff01795d38.exfil.ru,126,4.163775,1
auth.isigdo.io,14,3.182006,0
auth.erie.tech,14,3.039149,0
static.isou.app,15,3.106891,0
support.ousnu.info,18,3.19716,0
api.ealige.co,13,3.085055,0
shop.nessna.edu,15,3.189898,0
auth.urraub.gov,15,3.189898,0
df650342297d7b4ac3ab294e2458f89bf8.850604774a491f02211b95cf.5dbe5163e1313400dabf94d2612d.a565d059ea253379a2d941ce.exfil.ru,122,4.197979,1
blog.elve.app,13,3.085055,0
shop.luovup.edu,15,3.189898,0
support.duosousup.net,21,3.141619,0
shop.oushu.io,13,2.719295,0
api.uaoddeka.dev,16,3.155639,0
cdn.guufin.co,13,3.085055,0
auth.ilic.tech,14,3.093069,0
api.tiva.tech,13,3.085055,0
c266c7fe1370d5b3385ea1ee7.a692a6119be8d307d1f2435c152a61340a8.626bd9389ede01939014.b1d8850a7bef5d91d0eb23d3ad1560cdd.tunnel.io,126,4.209895,1
api.obmi.biz,12,2.855389,0
cdn.feweesye.tech,17,3.169249,0
7f0e640083f5e77bd6e1fc1d1187557de3.70356aec378c3b731a9acd.b87f404452b80f0c4240d6a9289bba.exfil.ru,97,4.237583,1
support.cini.io,15,3.189898,0
mail.iolaiade.dev,17,3.057476,0
www.oution.com,14,2.985228,0
static.osisussi.biz,19,3.005315,0
static.tamiat.edu,17,3.101881,0
o50j9w3nYVapljlI8TT4yVxuedYLL/IY64O.nXkHvMpg=hueWUg3EABwMbm21LLsDr.T=1mW3n1riZ9asVHfhhoXNeLPIAy.botnet.xyz,106,5.592037,1
media.imer.tech,15,3.189898,0
assets.eles.info,16,3.07782,0
support.oamimi.io,17,3.175123,0
static.iaiveis.dev,18,3.058814,0
www.yede.edu,12,2.459148,0
84e9a2aa315f68a236ba3ae6c8.1d3c2cd0133fa4490b6f05ec99e37f4b.c2server.net,72,4.220779,1
fa34745de244371aeb72c30ad6.33eee66b57751c1c3754e3d6453f7d7166.df0dbd5b3eb321cdbb2706d48d7d.8b1dd8cd1aab6ce5252052ce397944f9308.data-exfil.com,141,4.210316,1
support.sous.net,16,3.07782,0
mail.jayayajami.info,20,3.103702,0
login.geun.net,14,3.039149,0
auth.moio.info,14,3.182006,0
media.iekien.info,17,3.101881,0
jgsFB5FLyJ60OyKAKKXDBuKTBLZ79x.ZDFwkCHD3MAi9a46OlDD.aaZlg0Y74T9rrl8MqRgiRmVLJTLQTSjT=v.botnet.xyz,97,5.432301,1
ladedaic.dev,12,2.855389,0
media.addare.com,16,3.030639,0
mail.mualum.dev,15,3.056565,0
jKnxFrZ=Gn5zAw4abrm4U96lGC1wzlQ.MUYkUAftbJNnr/o84uMNqiBoMT.data-exfil.com,73,5.302236,1
api.kibeab.net,14,3.093069,0
support.ioro.gov,16,3.125,0
media.sita.dev,14,3.093069,0
shop.ondoen.info,16,3.07782,0
cdn.cacu.app,12,2.688722,0
static.haotsa.tech,18,3.016876,0
login.telegege.dev,18,3.038562,0
EBrcP+yst8WXhfrhPDC+FD/x3xuGNC.UMUDDP9ys6JRWfTvVtF4WymBna00QY.evil-corp.net,75,5.368428,1
uMbTX1Lh7PpvqhiJ8Km5D0oRW7mWWj/ZB.kEcUu5pbCcjpJxON7wW70C4.yqK8d7qKVySNXEbAXtKOwN6.exfil.ru,90,5.445865,1
cdn.puanceca.net,16,3.030639,0
h4401yVKgea=seu0MfcZijYS7v7WSC2FUZs.XNhXkVK9yU9bQwXJ1hSIUzoy0Z.7A7Fuq=lGGzZBakVpVkM.data-exfil.com,98,5.491862,1
zividouser.io,13,3.180833,0
shop.toetusussa.net,19,3.155565,0
www.anpa.info,13,2.873141,0
cdn.duunroweho.edu,18,3.19716,0
docs.duem.dev,13,3.026987,0
support.utueutul.net,20,3.041446,0
cdn.ioni.gov,12,2.918296,0
auth.weto.net,13,3.026987,0
auth.velu.edu,13,3.026987,0
www.oxofanreen.org,18,3.19716,0
shop.adof.com,13,3.180833,0
cdn.oaen.edu,12,2.918296,0
cdn.gocu.org,12,2.918296,0
kWw0gpwUnw+g/hf6iIhpTSPDbH.HRQt51t2imrj7SBUv3nP1vMFdgcgCnZ.=uILZyVFppTWBCsptE2Y43nNAYqx.evil-corp.net,101,5.634607,1
login.itti.tech,15,3.139572,0
support.opou.dev,16,3.155639,0
sooniage.gov,12,3.022055,0
mail.iecain.co,14,3.039149,0
411646e3be56c9f096e2e9a3c5.41d74cffc3d88bd5e8e947033d1b5d09.00d36a98d2573cda523e75aad.be30da879f3157eeeff24c9c4b494.data-exfil.com,130,4.252595,1
75861244b9460e5e9f200c8ccada0.b5598d3cc6aebe2d17c48ec0e91d8f5.exfil.ru,70,4.223339,1
static.coiswo.tech,18,3.19716,0
auth.imar.io,12,3.084963,0
shop.oberboup.org,17,3.146286,0
blog.lodo.dev,13,2.873141,0
media.yofo.io,13,3.026987,0
blog.goleup.com,15,3.189898,0
docs.biou.biz,13,3.085055,0
diiosepano.co,13,3.180833,0
b2b30f1597043301c545.f3bbff7c17d467030a24ae600d056eb8c.a1bd7e1b0d6e883c0bde1ef7024fc57fdf.botnet.xyz,100,4.208767,1
f7bc63f1f3e683cd400aa95052f1915fcb.b299c54c99cf7fac17ab3e.exfil.ru,66,4.162867,1
api.esuaedbi.io,15,3.189898,0
mail.ioouin.app,15,3.056565,0
assets.kevosomo.com,19,3.090033,0
